date,shelter_trend
2020-03-01,0.22751
2020-03-02,0.1355
2020-03-03,0.13644
2020-03-04,0.13306
2020-03-05,0.1323
2020-03-06,0.13052
2020-03-07,0.17569
2020-03-08,0.2378
2020-03-09,0.14663
2020-03-10,0.14535
2020-03-11,0.14383
2020-03-12,0.14651
2020-03-13,0.1475
2020-03-14,0.19667
2020-03-15,0.27718
2020-03-16,0.20506
2020-03-17,0.22722
2020-03-18,0.23621
2020-03-19,0.242
2020-03-20,0.56089
2020-03-21,0.65228
2020-03-22,0.69311
2020-03-23,0.68851
2020-03-24,0.54461
2020-03-25,0.64023
2020-03-26,0.63575
2020-03-27,0.62977
2020-03-28,0.64552
2020-03-29,0.69393
2020-03-30,0.61947
2020-03-31,0.60524
2020-04-01,0.60287
2020-04-02,0.59185
2020-04-03,0.58935
2020-04-04,0.61564
2020-04-05,0.67298
2020-04-06,0.59314
2020-04-07,0.57925
2020-04-08,0.57184
2020-04-09,0.66119
2020-04-10,0.7133
2020-04-11,0.64524
2020-04-12,0.67804
2020-04-13,0.60846
2020-04-14,0.61266
2020-04-15,0.5888
2020-04-16,0.60243
2020-04-17,0.57423
2020-04-18,0.61917
2020-04-19,0.65952
2020-04-20,0.58847
2020-04-21,0.57628
2020-04-22,0.58793
2020-04-23,0.57179
2020-04-24,0.56627
2020-04-25,0.57836
2020-04-26,0.63843
2020-04-27,0.53685
2020-04-28,0.5371
2020-04-29,0.52687
2020-04-30,0.51658
2020-05-01,0.57299
2020-05-02,0.54294
2020-05-03,0.60689
2020-05-04,0.50416
2020-05-05,0.49354
2020-05-06,0.49704
2020-05-07,0.49459
2020-05-08,0.4835
2020-05-09,0.48631
2020-05-10,0.533
2020-05-11,0.45273
2020-05-12,0.46379
2020-05-13,0.45219
2020-05-14,0.45775
2020-05-15,0.43869
2020-05-16,0.44974
2020-05-17,0.53972
2020-05-18,0.43118
2020-05-19,0.45386
2020-05-20,0.43264
2020-05-21,0.43353
2020-05-22,0.41882
2020-05-23,0.43168
2020-05-24,0.5205
2020-05-25,0.51656
2020-05-26,0.41566
2020-05-27,0.41587
2020-05-28,0.42429
2020-05-29,0.4012
2020-05-30,0.4191
2020-05-31,0.47956
2020-06-01,0.40506
2020-06-02,0.4041
2020-06-03,0.41302
2020-06-04,0.39819
2020-06-05,0.38779
2020-06-06,0.39637
2020-06-07,0.46448
2020-06-08,0.38285
2020-06-09,0.38417
2020-06-10,0.39526
2020-06-11,0.39936
2020-06-12,0.38911
2020-06-13,0.36457
2020-06-14,0.45194
2020-06-15,0.44904
2020-06-16,0.37758
2020-06-17,0.38225
2020-06-18,0.38287
2020-06-19,0.34675
2020-06-20,0.35559
2020-06-21,0.40294
2020-06-22,0.46311
2020-06-23,0.36274
2020-06-24,0.35533
2020-06-25,0.35846
2020-06-26,0.34301
2020-06-27,0.33834
2020-06-28,0.43345
2020-06-29,0.43383
2020-06-30,0.3382
2020-07-01,0.33739
2020-07-02,0.34216
2020-07-03,0.32575
2020-07-04,0.33968
2020-07-05,0.39755
2020-07-06,0.35257
2020-07-07,0.34018
2020-07-08,0.34232
2020-07-09,0.34939
2020-07-10,0.33631
2020-07-11,0.34424
2020-07-12,0.40885
2020-07-13,0.3898
2020-07-14,0.39424
2020-07-15,0.39605
2020-07-16,0.38403
2020-07-17,0.37054
2020-07-18,0.37717
2020-07-19,0.4609
2020-07-20,0.47676
2020-07-21,0.39154
