date,shelter_trend
2020-03-01,0.1368
2020-03-02,0.08983
2020-03-03,0.09672
2020-03-04,0.10047
2020-03-05,0.08112
2020-03-06,0.09373
2020-03-07,0.12168
2020-03-08,0.11336
2020-03-09,0.09813
2020-03-10,0.13123
2020-03-11,0.08206
2020-03-12,0.10899
2020-03-13,0.10388
2020-03-14,0.13588
2020-03-15,0.14458
2020-03-16,0.11518
2020-03-17,0.11689
2020-03-18,0.14176
2020-03-19,0.13577
2020-03-20,0.12003
2020-03-21,0.14764
2020-03-22,0.19814
2020-03-23,0.17726
2020-03-24,0.1303
2020-03-25,0.27556
2020-03-26,0.37775
2020-03-27,0.33611
2020-03-28,0.34284
2020-03-29,0.37122
2020-03-30,0.27371
2020-03-31,0.27545
2020-04-01,0.30696
2020-04-02,0.29784
2020-04-03,0.27877
2020-04-04,0.31543
2020-04-05,0.41972
2020-04-06,0.2564
2020-04-07,0.2577
2020-04-08,0.23381
2020-04-09,0.33189
2020-04-10,0.31303
2020-04-11,0.34121
2020-04-12,0.40072
2020-04-13,0.27492
2020-04-14,0.26767
2020-04-15,0.29065
2020-04-16,0.27237
2020-04-17,0.25039
2020-04-18,0.28749
2020-04-19,0.39868
2020-04-20,0.24602
2020-04-21,0.23715
2020-04-22,0.27154
2020-04-23,0.27203
2020-04-24,0.24491
2020-04-25,0.27091
2020-04-26,0.33851
2020-04-27,0.19491
2020-04-28,0.20069
2020-04-29,0.20624
2020-04-30,0.23169
2020-05-01,0.26599
2020-05-02,0.24508
2020-05-03,0.35096
2020-05-04,0.2185
2020-05-05,0.20816
2020-05-06,0.21461
2020-05-07,0.21006
2020-05-08,0.17136
2020-05-09,0.20759
2020-05-10,0.26012
2020-05-11,0.1686
2020-05-12,0.15964
2020-05-13,0.18411
2020-05-14,0.15695
2020-05-15,0.15509
2020-05-16,0.16949
2020-05-17,0.26814
2020-05-18,0.15836
2020-05-19,0.14726
2020-05-20,0.19391
2020-05-21,0.14602
2020-05-22,0.20399
2020-05-23,0.17589
2020-05-24,0.3121
2020-05-25,0.20614
2020-05-26,0.17238
2020-05-27,0.18531
2020-05-28,0.16771
2020-05-29,0.161
2020-05-30,0.24658
2020-05-31,0.35942
2020-06-01,0.20732
2020-06-02,0.19693
2020-06-03,0.18664
2020-06-04,0.1968
2020-06-05,0.19975
2020-06-06,0.20565
2020-06-07,0.30988
2020-06-08,0.15258
2020-06-09,0.16163
2020-06-10,0.15371
2020-06-11,0.17725
2020-06-12,0.14744
2020-06-13,0.15967
2020-06-14,0.22639
2020-06-15,0.18917
2020-06-16,0.15277
2020-06-17,0.14532
2020-06-18,0.15673
2020-06-19,0.15193
2020-06-20,0.17145
2020-06-21,0.18662
2020-06-22,0.16869
2020-06-24,0.13439
2020-06-25,0.13217
2020-06-26,0.14466
2020-06-27,0.11847
2020-06-28,0.15151
2020-06-29,0.158
2020-06-30,0.12748
2020-07-01,0.1041
2020-07-02,0.135
2020-07-03,0.11441
2020-07-04,0.14688
2020-07-05,0.15944
2020-07-06,0.10776
2020-07-07,0.1123
2020-07-08,0.09173
2020-07-09,0.11522
2020-07-10,0.1096
2020-07-11,0.14591
2020-07-12,0.12031
2020-07-13,0.12035
2020-07-14,0.12656
2020-07-15,0.13433
2020-07-16,0.13747
2020-07-17,0.11862
2020-07-18,0.11848
2020-07-19,0.1636
2020-07-20,0.13093
2020-07-21,0.15174
2020-07-22,0.13441
2020-07-23,0.11442
2020-07-24,0.12175
2020-07-25,0.11784
2020-07-26,0.11682
2020-07-27,0.12381
2020-07-28,0.12615
2020-07-29,0.12902
2020-07-30,0.11795
2020-07-31,0.09849
2020-08-01,0.10884
2020-08-02,0.10479
2020-08-03,0.10473
2020-08-04,0.12802
2020-08-05,0.11631
2020-08-06,0.15296
2020-08-07,0.12505
2020-08-08,0.12771
2020-08-09,0.15866
2020-08-10,0.08195
2020-08-11,0.13645
2020-08-12,0.13881
2020-08-13,0.1192
2020-08-14,0.0776
2020-08-15,0.10107
2020-08-16,0.09567
2020-08-17,0.14642
2020-08-18,0.16216
2020-08-19,0.18834
2020-08-20,0.19012
2020-08-21,0.1752
2020-08-22,0.3398
2020-08-26,0.20109
2020-08-27,0.19001
2020-08-28,0.18555
2020-08-29,0.30399
2020-08-30,0.35343
2020-08-31,0.19071
2020-09-01,0.14002
2020-09-02,0.17026
2020-09-03,0.1645
2020-09-04,0.15889
2020-09-05,0.17436
2020-09-06,0.16696
2020-09-07,0.16645
2020-09-08,0.15905
2020-09-09,0.14477
2020-09-10,0.21371
2020-09-11,0.18351
2020-09-12,0.18564
2020-09-13,0.15403
2020-09-14,0.13959
2020-09-15,0.14592
2020-09-16,0.15487
2020-09-17,0.1617
2020-09-18,0.1467
2020-09-19,0.14377
2020-09-20,0.1776
2020-09-21,0.14579
2020-09-22,0.13124
2020-09-23,0.11815
2020-09-24,0.13975
2020-09-25,0.15637
2020-09-26,0.11875
2020-09-27,0.1355
2020-09-28,0.14738
2020-09-29,0.10367
2020-09-30,0.12018
2020-10-01,0.0988
2020-10-02,0.12247
2020-10-03,0.11106
2020-10-04,0.15046
2020-10-05,0.1343
2020-10-06,0.13052
2020-10-07,0.14059
2020-10-08,0.11094
2020-10-09,0.12037
2020-10-10,0.1594
2020-10-11,0.15146
2020-10-12,0.16935
2020-10-13,0.11735
2020-10-14,0.12251
2020-10-15,0.1237
2020-10-16,0.14353
2020-10-17,0.15993
2020-10-18,0.16432
2020-10-19,0.09581
2020-10-20,0.12641
2020-10-21,0.14227
2020-10-22,0.13616
2020-10-23,0.09056
2020-10-24,0.10848
2020-10-25,0.10628
2020-10-26,0.09597
2020-10-27,0.0795
2020-10-28,0.08757
2020-10-29,0.11989
2020-10-30,0.11581
2020-10-31,0.12197
2020-11-01,0.15856
2020-11-02,0.12683
2020-11-03,0.1081
2020-11-04,0.11336
2020-11-05,0.08803
2020-11-06,0.08963
2020-11-07,0.10488
2020-11-08,0.10179
2020-11-09,0.08564
2020-11-10,0.06658
2020-11-11,0.0634
2020-11-12,0.06651
2020-11-13,0.07196
2020-11-14,0.05526
2020-11-15,0.07892
2020-11-16,0.10029
2020-11-17,0.06633
2020-11-18,0.09155
2020-11-19,0.07507
2020-11-20,0.0844
2020-11-21,0.11589
2020-11-22,0.12671
2020-11-23,0.07705
2020-11-24,0.08459
2020-11-25,0.10941
2020-11-26,0.10684
2020-11-27,0.07951
2020-11-28,0.10114
2020-11-29,0.13473
2020-11-30,0.1086
2020-12-01,0.10001
2020-12-02,0.09897
2020-12-03,0.08176
2020-12-04,0.09391
2020-12-05,0.12326
2020-12-06,0.11342
2020-12-07,0.0766
2020-12-08,0.12011
2020-12-09,0.09915
2020-12-10,0.09618
2020-12-11,0.05452
2020-12-12,0.10658
2020-12-13,0.11635
2020-12-14,0.0991
2020-12-15,0.09366
2020-12-16,0.08245
2020-12-17,0.07967
2020-12-18,0.10346
2020-12-19,0.08194
2020-12-20,0.10615
2020-12-21,0.08046
2020-12-22,0.09096
2020-12-24,0.12059
2020-12-25,0.11351
2020-12-26,0.13522
2020-12-27,0.14769
2020-12-28,0.08963
2020-12-29,0.11832
2020-12-30,0.11584
2020-12-31,0.10174
