date,shelter_trend
2020-03-01,0.1478
2020-03-02,0.13429
2020-03-03,0.10104
2020-03-04,0.10164
2020-03-05,0.09484
2020-03-06,0.10883
2020-03-07,0.12733
2020-03-08,0.13807
2020-03-09,0.12204
2020-03-10,0.13614
2020-03-11,0.11096
2020-03-12,0.09294
2020-03-13,0.11379
2020-03-14,0.1322
2020-03-15,0.16659
2020-03-16,0.11181
2020-03-17,0.13868
2020-03-18,0.14408
2020-03-19,0.14928
2020-03-20,0.16358
2020-03-21,0.20789
2020-03-22,0.2243
2020-03-23,0.22152
2020-03-24,0.18207
2020-03-25,0.32247
2020-03-26,0.34603
2020-03-27,0.35783
2020-03-28,0.34773
2020-03-29,0.3451
2020-03-30,0.30276
2020-03-31,0.29486
2020-04-01,0.33283
2020-04-02,0.30023
2020-04-03,0.30281
2020-04-04,0.32128
2020-04-05,0.35841
2020-04-06,0.2936
2020-04-07,0.28049
2020-04-08,0.31204
2020-04-09,0.34184
2020-04-10,0.36784
2020-04-11,0.32052
2020-04-12,0.37913
2020-04-13,0.24187
2020-04-14,0.25861
2020-04-15,0.27785
2020-04-16,0.24942
2020-04-17,0.23026
2020-04-18,0.25224
2020-04-19,0.33577
2020-04-20,0.24814
2020-04-21,0.24652
2020-04-22,0.28213
2020-04-23,0.23766
2020-04-24,0.22719
2020-04-25,0.25734
2020-04-26,0.3028
2020-04-27,0.22591
2020-04-28,0.23142
2020-04-29,0.21529
2020-04-30,0.20221
2020-05-01,0.23766
2020-05-02,0.24966
2020-05-03,0.31786
2020-05-04,0.25597
2020-05-05,0.23801
2020-05-06,0.25568
2020-05-07,0.21952
2020-05-08,0.23863
2020-05-09,0.23847
2020-05-10,0.34712
2020-05-11,0.2864
2020-05-12,0.26572
2020-05-13,0.25801
2020-05-14,0.32835
2020-05-15,0.21938
2020-05-16,0.25797
2020-05-17,0.37935
2020-05-18,0.25613
2020-05-19,0.23231
2020-05-20,0.24036
2020-05-21,0.20646
2020-05-22,0.22205
2020-05-23,0.24144
2020-05-24,0.28065
2020-05-25,0.25846
2020-05-26,0.2169
2020-05-27,0.21017
2020-05-28,0.20763
2020-05-29,0.2243
2020-05-30,0.24755
2020-05-31,0.31309
2020-06-01,0.24551
2020-06-02,0.24217
2020-06-03,0.27529
2020-06-04,0.23222
2020-06-05,0.21922
2020-06-06,0.24912
2020-06-07,0.29264
2020-06-08,0.21337
2020-06-09,0.19903
2020-06-10,0.22084
2020-06-11,0.18951
2020-06-12,0.18745
2020-06-13,0.2289
2020-06-14,0.24967
2020-06-15,0.26471
2020-06-16,0.21233
2020-06-17,0.19107
2020-06-18,0.21381
2020-06-19,0.2204
2020-06-20,0.25866
2020-06-21,0.25892
2020-06-22,0.2341
2020-06-24,0.22386
2020-06-25,0.17059
2020-06-26,0.14711
2020-06-27,0.20598
2020-06-28,0.21092
2020-06-29,0.22138
2020-06-30,0.16437
2020-07-01,0.15388
2020-07-02,0.14939
2020-07-03,0.12664
2020-07-04,0.17916
2020-07-05,0.19021
2020-07-06,0.15851
2020-07-07,0.14444
2020-07-08,0.13903
2020-07-09,0.16459
2020-07-10,0.14338
2020-07-11,0.14722
2020-07-12,0.17031
2020-07-13,0.14687
2020-07-14,0.16542
2020-07-15,0.16177
2020-07-16,0.13144
2020-07-17,0.1557
2020-07-18,0.21927
2020-07-19,0.20673
2020-07-20,0.20688
2020-07-21,0.19199
2020-07-22,0.18723
2020-07-23,0.1829
2020-07-24,0.13692
2020-07-25,0.18108
2020-07-26,0.15923
2020-07-27,0.15878
2020-07-28,0.14824
2020-07-29,0.1515
2020-07-30,0.14324
2020-07-31,0.12344
2020-08-01,0.14417
2020-08-02,0.16996
2020-08-03,0.13978
2020-08-04,0.14497
2020-08-05,0.14559
2020-08-06,0.14045
2020-08-07,0.16312
2020-08-08,0.14946
2020-08-09,0.21973
2020-08-10,0.13888
2020-08-11,0.12478
2020-08-12,0.13551
2020-08-13,0.13454
2020-08-14,0.13024
2020-08-15,0.20502
2020-08-16,0.15993
2020-08-17,0.17782
2020-08-18,0.15309
2020-08-19,0.17174
2020-08-20,0.20346
2020-08-21,0.22778
2020-08-22,0.27275
2020-08-26,0.24814
2020-08-27,0.22268
2020-08-28,0.23208
2020-08-29,0.25713
2020-08-30,0.2778
2020-08-31,0.24105
2020-09-01,0.21669
2020-09-02,0.27149
2020-09-03,0.21245
2020-09-04,0.20508
2020-09-05,0.21951
2020-09-06,0.24707
2020-09-07,0.27274
2020-09-09,0.23652
2020-09-10,0.23361
2020-09-11,0.2533
2020-09-12,0.25258
