date,shelter_trend
2020-03-01,0.11599
2020-03-02,0.11652
2020-03-03,0.0859
2020-03-04,0.0872
2020-03-05,0.06492
2020-03-06,0.08313
2020-03-07,0.09819
2020-03-08,0.09785
2020-03-09,0.09015
2020-03-10,0.05486
2020-03-11,0.06759
2020-03-12,0.06808
2020-03-13,0.08462
2020-03-14,0.11548
2020-03-15,0.12137
2020-03-16,0.05851
2020-03-17,0.09868
2020-03-18,0.10566
2020-03-19,0.084
2020-03-20,0.13255
2020-03-21,0.15257
2020-03-22,0.19252
2020-03-23,0.18401
2020-03-24,0.14695
2020-03-25,0.26382
2020-03-26,0.23692
2020-03-27,0.20963
2020-03-28,0.28855
2020-03-29,0.30993
2020-03-30,0.23256
2020-03-31,0.24722
2020-04-01,0.19593
2020-04-02,0.2048
2020-04-03,0.22037
2020-04-04,0.24262
2020-04-06,0.18074
2020-04-07,0.18209
2020-04-08,0.20637
2020-04-09,0.23764
2020-04-10,0.29685
2020-04-11,0.22261
2020-04-12,0.25072
2020-04-13,0.17279
2020-04-14,0.17021
2020-04-15,0.14705
2020-04-16,0.14282
2020-04-17,0.17778
2020-04-18,0.18694
2020-04-19,0.20652
2020-04-20,0.14198
2020-04-21,0.12558
2020-04-22,0.12996
2020-04-23,0.13887
2020-04-24,0.15766
2020-04-25,0.19864
2020-04-26,0.19834
2020-04-27,0.14663
2020-04-28,0.12355
2020-04-29,0.15557
2020-04-30,0.166
2020-05-01,0.17108
2020-05-02,0.22168
2020-05-03,0.25756
2020-05-04,0.14042
2020-05-05,0.16911
2020-05-06,0.16654
2020-05-07,0.15758
2020-05-09,0.23946
2020-05-10,0.15728
2020-05-11,0.12982
2020-05-12,0.14049
2020-05-13,0.17784
2020-05-14,0.35914
2020-05-15,0.32624
2020-05-16,0.3276
2020-05-17,0.28356
2020-05-18,0.29611
2020-05-19,0.2903
2020-05-20,0.2872
2020-05-21,0.17106
2020-05-22,0.29738
2020-05-23,0.27281
2020-05-24,0.2166
2020-05-25,0.20702
2020-05-26,0.14684
2020-05-27,0.17785
2020-05-28,0.1625
2020-05-29,0.12959
2020-05-30,0.17026
2020-05-31,0.20112
2020-06-01,0.15075
2020-06-02,0.13167
2020-06-03,0.14345
2020-06-04,0.14931
2020-06-05,0.12684
2020-06-06,0.15526
2020-06-07,0.20021
2020-06-08,0.11839
2020-06-09,0.09808
2020-06-10,0.11071
2020-06-11,0.13957
2020-06-12,0.15187
2020-06-13,0.17349
2020-06-14,0.19921
2020-06-15,0.21335
2020-06-16,0.12597
2020-06-17,0.11602
2020-06-18,0.16235
2020-06-19,0.14803
2020-06-20,0.21676
2020-06-22,0.18379
2020-06-23,0.18935
2020-06-24,0.16689
2020-06-25,0.16352
2020-06-26,0.13253
2020-06-27,0.21252
2020-06-28,0.16591
2020-07-02,0.19195
2020-07-03,0.14963
2020-07-07,0.14254
2020-07-08,0.12893
2020-07-10,0.13297
2020-07-13,0.1311
2020-07-14,0.22196
2020-07-16,0.20535
2020-07-22,0.15726
2020-07-23,0.11045
2020-07-24,0.10454
2020-07-27,0.08505
2020-07-28,0.10193
2020-07-29,0.12769
2020-07-30,0.10239
2020-07-31,0.12141
2020-08-01,0.13692
2020-08-02,0.11702
2020-08-03,0.13978
2020-08-04,0.09148
2020-08-05,0.07552
2020-08-12,0.14134
2020-08-18,0.13346
2021-11-23,0.23048
