date,shelter_trend
2020-03-01,0.1625
2020-03-02,0.12699
2020-03-03,0.12426
2020-03-04,0.13039
2020-03-05,0.12329
2020-03-06,0.11217
2020-03-07,0.14252
2020-03-08,0.1461
2020-03-09,0.11455
2020-03-10,0.11746
2020-03-11,0.11385
2020-03-12,0.12907
2020-03-13,0.12907
2020-03-14,0.14965
2020-03-15,0.15735
2020-03-16,0.14118
2020-03-17,0.14937
2020-03-18,0.14438
2020-03-19,0.15932
2020-03-20,0.15129
2020-03-21,0.36792
2020-03-22,0.40414
2020-03-23,0.36443
2020-03-24,0.27661
2020-03-25,0.36671
2020-03-26,0.36385
2020-03-27,0.35371
2020-03-28,0.35456
2020-03-29,0.4326
2020-03-30,0.34717
2020-03-31,0.34123
2020-04-01,0.33216
2020-04-02,0.31384
2020-04-03,0.35734
2020-04-04,0.35813
2020-04-05,0.44003
2020-04-06,0.33077
2020-04-07,0.32823
2020-04-08,0.3453
2020-04-09,0.39985
2020-04-10,0.45585
2020-04-11,0.3461
2020-04-12,0.45087
2020-04-13,0.32145
2020-04-14,0.31223
2020-04-15,0.31282
2020-04-16,0.30397
2020-04-17,0.31096
2020-04-18,0.38399
2020-04-19,0.42031
2020-04-20,0.30366
2020-04-21,0.29102
2020-04-22,0.31753
2020-04-23,0.29976
2020-04-24,0.29312
2020-04-25,0.30294
2020-04-26,0.40235
2020-04-27,0.28675
2020-04-28,0.28228
2020-04-29,0.27377
2020-04-30,0.25423
2020-05-01,0.29642
2020-05-02,0.33943
2020-05-03,0.40945
2020-05-04,0.26885
2020-05-05,0.28315
2020-05-06,0.28095
2020-05-07,0.27458
2020-05-08,0.27107
2020-05-09,0.31371
2020-05-10,0.34434
2020-05-11,0.26096
2020-05-12,0.25947
2020-05-13,0.26397
2020-05-14,0.2614
2020-05-15,0.26802
2020-05-16,0.29144
2020-05-17,0.42041
2020-05-18,0.26164
2020-05-19,0.31229
2020-05-20,0.27197
2020-05-21,0.26248
2020-05-22,0.25338
2020-05-23,0.27768
2020-05-24,0.36762
2020-05-25,0.28816
2020-05-26,0.27788
2020-05-27,0.2529
2020-05-28,0.24079
2020-05-29,0.21964
2020-05-30,0.26396
2020-05-31,0.28647
2020-06-01,0.20757
2020-06-02,0.23235
2020-06-03,0.22556
2020-06-04,0.22215
2020-06-05,0.2137
2020-06-06,0.24735
2020-06-07,0.31019
2020-06-08,0.21358
2020-06-09,0.22187
2020-06-10,0.24569
2020-06-11,0.20439
2020-06-12,0.21614
2020-06-13,0.23766
2020-06-14,0.34177
2020-06-15,0.26842
2020-06-16,0.22654
2020-06-17,0.24874
2020-06-18,0.22011
2020-06-19,0.21711
2020-06-20,0.2407
2020-06-21,0.28891
2020-06-22,0.2587
2020-06-23,0.21241
2020-06-24,0.19818
2020-06-25,0.20222
2020-06-26,0.19097
2020-06-27,0.22352
2020-06-28,0.28765
2020-06-29,0.21834
2020-06-30,0.18635
2020-07-01,0.19894
2020-07-02,0.19683
2020-07-03,0.19852
2020-07-04,0.22363
2020-07-05,0.28034
2020-07-06,0.18335
2020-07-07,0.18874
2020-07-08,0.17686
2020-07-09,0.19744
2020-07-10,0.18195
2020-07-11,0.20524
2020-07-12,0.24594
2020-07-13,0.19211
2020-07-14,0.19221
2020-07-15,0.20462
2020-07-16,0.19954
2020-07-17,0.23761
2020-07-18,0.32924
2020-07-19,0.3819
2020-07-20,0.31157
2020-07-21,0.19969
2020-07-22,0.21203
2020-07-23,0.1986
2020-07-24,0.19193
2020-07-25,0.22727
2020-07-26,0.2886
2020-07-27,0.19804
2020-07-28,0.21104
2020-07-29,0.1922
2020-07-30,0.20483
2020-07-31,0.20093
2020-08-01,0.1842
2020-08-02,0.27006
2020-08-03,0.18836
2020-08-04,0.18871
2020-08-05,0.19383
2020-08-06,0.1793
2020-08-07,0.224
2020-08-08,0.20986
2020-08-09,0.2785
2020-08-10,0.18617
2020-08-11,0.20349
2020-08-12,0.21172
2020-08-13,0.2366
2020-08-14,0.198
2020-08-15,0.20313
2020-08-16,0.27719
2020-08-17,0.25417
2020-08-18,0.18674
2020-08-19,0.19002
2020-08-20,0.21918
2020-08-21,0.20687
2020-08-22,0.21791
2020-08-23,0.26568
2020-08-24,0.19824
2020-08-25,0.19725
2020-08-26,0.19785
2020-08-27,0.20812
2020-08-28,0.20328
2020-08-29,0.20934
2020-08-30,0.24674
2020-08-31,0.18445
2020-09-01,0.18295
2020-09-02,0.17667
2020-09-03,0.20176
2020-09-04,0.20004
2020-09-05,0.2
2020-09-06,0.2348
2020-09-07,0.19938
2020-09-08,0.20479
2020-09-09,0.20379
2020-09-10,0.2201
2020-09-11,0.21146
2020-09-12,0.22984
2020-09-13,0.23008
2020-09-14,0.20166
2020-09-15,0.20534
2020-09-16,0.18442
2020-09-17,0.18661
2020-09-18,0.18194
2020-09-19,0.20581
2020-09-20,0.22482
2020-09-21,0.18222
2020-09-22,0.17817
2020-09-23,0.20085
2020-09-24,0.19851
2020-09-25,0.18497
2020-09-26,0.19839
2020-09-27,0.22284
2020-09-28,0.16839
2020-09-29,0.21286
2020-09-30,0.18711
2020-10-01,0.17449
2020-10-02,0.16833
2020-10-03,0.1928
2020-10-04,0.23217
2020-10-05,0.18737
2020-10-06,0.18481
2020-10-07,0.18337
2020-10-08,0.20328
2020-10-09,0.19365
2020-10-10,0.19438
2020-10-11,0.22794
2020-10-12,0.23562
2020-10-13,0.18074
2020-10-14,0.17053
2020-10-15,0.17329
2020-10-16,0.17443
2020-10-17,0.18438
2020-10-18,0.22385
2020-10-19,0.18691
2020-10-20,0.19269
2020-10-21,0.2093
2020-10-22,0.20492
2020-10-23,0.1754
2020-10-24,0.18725
2020-10-25,0.2165
2020-10-26,0.1738
2020-10-27,0.17878
2020-10-28,0.17993
2020-10-29,0.18743
2020-10-30,0.17162
2020-10-31,0.20464
2020-11-01,0.23736
2020-11-02,0.21799
2020-11-03,0.17774
2020-11-04,0.18407
2020-11-05,0.16489
2020-11-06,0.15581
2020-11-07,0.19152
2020-11-08,0.20548
2020-11-09,0.16938
2020-11-10,0.18283
2020-11-11,0.18213
2020-11-12,0.17976
2020-11-13,0.17609
2020-11-14,0.16999
2020-11-15,0.20953
2020-11-16,0.24953
2020-11-17,0.16734
2020-11-18,0.17618
2020-11-19,0.16924
2020-11-20,0.1647
2020-11-21,0.16589
2020-11-22,0.19023
2020-11-23,0.17405
2020-11-24,0.16755
2020-11-25,0.16491
2020-11-26,0.16644
2020-11-27,0.19204
2020-11-28,0.19105
2020-11-29,0.2038
2020-11-30,0.15376
2020-12-01,0.17759
2020-12-02,0.16725
2020-12-03,0.1604
2020-12-04,0.15437
2020-12-05,0.18201
2020-12-06,0.16898
2020-12-07,0.15719
2020-12-08,0.17359
2020-12-09,0.15108
2020-12-10,0.15385
2020-12-11,0.13637
2020-12-12,0.15964
2020-12-13,0.18712
2020-12-14,0.14958
2020-12-15,0.16379
2020-12-16,0.14914
2020-12-17,0.17312
2020-12-18,0.16486
2020-12-19,0.16933
2020-12-20,0.17573
2020-12-21,0.14402
2020-12-22,0.16842
2020-12-23,0.12921
2020-12-24,0.14474
2020-12-25,0.17783
2020-12-26,0.19504
2020-12-27,0.18195
2020-12-28,0.14629
2020-12-29,0.15745
2020-12-30,0.15235
2020-12-31,0.15967
2021-01-01,0.19151
2021-01-02,0.21707
2021-01-03,0.22575
2021-01-04,0.16353
2021-01-05,0.16627
