date,shelter_trend
2020-03-01,0.12686
2020-03-02,0.08985
2020-03-03,0.09785
2020-03-04,0.09579
2020-03-05,0.09654
2020-03-06,0.09882
2020-03-07,0.11252
2020-03-08,0.119
2020-03-09,0.09935
2020-03-10,0.10678
2020-03-11,0.09721
2020-03-12,0.09972
2020-03-13,0.10085
2020-03-14,0.11549
2020-03-15,0.12791
2020-03-16,0.11356
2020-03-17,0.12165
2020-03-18,0.12045
2020-03-19,0.14789
2020-03-20,0.1491
2020-03-21,0.30683
2020-03-22,0.40792
2020-03-23,0.41521
2020-03-24,0.32498
2020-03-25,0.39714
2020-03-26,0.3892
2020-03-27,0.37509
2020-03-28,0.43855
2020-03-29,0.45732
2020-03-30,0.34325
2020-03-31,0.34849
2020-04-01,0.34572
2020-04-02,0.35462
2020-04-03,0.34454
2020-04-04,0.41462
2020-04-05,0.45728
2020-04-06,0.32707
2020-04-07,0.32465
2020-04-08,0.33181
2020-04-09,0.38533
2020-04-10,0.42046
2020-04-11,0.43234
2020-04-12,0.48075
2020-04-13,0.34263
2020-04-14,0.34714
2020-04-15,0.34051
2020-04-16,0.33433
2020-04-17,0.32693
2020-04-18,0.39393
2020-04-19,0.43653
2020-04-20,0.30892
2020-04-21,0.31679
2020-04-22,0.32973
2020-04-23,0.32607
2020-04-24,0.31643
2020-04-25,0.38848
2020-04-26,0.42079
2020-04-27,0.29895
2020-04-28,0.29724
2020-04-29,0.2946
2020-04-30,0.27684
2020-05-01,0.333
2020-05-02,0.48059
2020-05-03,0.50475
2020-05-04,0.28599
2020-05-05,0.28624
2020-05-06,0.28065
2020-05-07,0.28644
2020-05-08,0.27238
2020-05-09,0.44223
2020-05-10,0.43412
2020-05-11,0.26435
2020-05-12,0.27629
2020-05-13,0.30255
2020-05-14,0.29211
2020-05-15,0.25481
2020-05-16,0.38565
2020-05-17,0.406
2020-05-18,0.27046
2020-05-19,0.25775
2020-05-20,0.28905
2020-05-21,0.29219
2020-05-22,0.25987
2020-05-23,0.40616
2020-05-24,0.44009
2020-05-25,0.41699
2020-05-26,0.2571
2020-05-27,0.24579
2020-05-28,0.28009
2020-05-29,0.24796
2020-05-30,0.39571
2020-05-31,0.41918
2020-06-01,0.23351
2020-06-02,0.26003
2020-06-03,0.25652
2020-06-04,0.26439
2020-06-05,0.23131
2020-06-06,0.28941
2020-06-07,0.3642
2020-06-08,0.24262
2020-06-09,0.23419
2020-06-10,0.23467
2020-06-11,0.25553
2020-06-12,0.24421
2020-06-13,0.37268
2020-06-14,0.38529
2020-06-15,0.37911
2020-06-16,0.22446
2020-06-17,0.23367
2020-06-18,0.22554
2020-06-19,0.21051
2020-06-20,0.2611
2020-06-21,0.33555
2020-06-22,0.35212
2020-06-23,0.21323
2020-06-24,0.2115
2020-06-25,0.20837
2020-06-26,0.20891
2020-06-27,0.26678
2020-06-28,0.38906
2020-06-29,0.37225
2020-06-30,0.17971
2020-07-01,0.18729
2020-07-02,0.20416
2020-07-03,0.25176
2020-07-04,0.25306
2020-07-05,0.3611
2020-07-06,0.21278
2020-07-07,0.21887
2020-07-08,0.21041
2020-07-09,0.24381
2020-07-10,0.19694
2020-07-11,0.21848
2020-07-12,0.35765
2020-07-13,0.20897
2020-07-14,0.2136
2020-07-15,0.2347
2020-07-16,0.20132
2020-07-17,0.18866
2020-07-18,0.22383
2020-07-19,0.34513
2020-07-20,0.34499
2020-07-21,0.19082
2020-07-22,0.20889
2020-07-23,0.21086
2020-07-24,0.19486
2020-07-25,0.23564
2020-07-26,0.36193
2020-07-27,0.20185
2020-07-28,0.23318
2020-07-29,0.21409
2020-07-30,0.20081
2020-07-31,0.18084
2020-08-01,0.2821
2020-08-02,0.42623
2020-08-03,0.28393
2020-08-04,0.26579
2020-08-05,0.26647
2020-08-06,0.27129
2020-08-07,0.41704
2020-08-08,0.34796
2020-08-09,0.41388
2020-08-10,0.24314
2020-08-11,0.2171
2020-08-12,0.21612
2020-08-13,0.2223
2020-08-14,0.24671
2020-08-15,0.23588
2020-08-16,0.33287
2020-08-17,0.34847
2020-08-18,0.20342
2020-08-19,0.21032
2020-08-20,0.21932
2020-08-21,0.21907
2020-08-22,0.23938
2020-08-23,0.34055
2020-08-24,0.21095
2020-08-25,0.23798
2020-08-26,0.24173
2020-08-27,0.2294
2020-08-28,0.20593
2020-08-29,0.25724
2020-08-30,0.32248
2020-08-31,0.18911
2020-09-01,0.19381
2020-09-02,0.2055
2020-09-03,0.22552
2020-09-04,0.22843
2020-09-05,0.37018
2020-09-06,0.39873
2020-09-07,0.22653
2020-09-08,0.23164
2020-09-09,0.24824
2020-09-10,0.24697
2020-09-11,0.22501
2020-09-12,0.34232
2020-09-13,0.43871
2020-09-14,0.2441
2020-09-15,0.23237
2020-09-16,0.24847
2020-09-17,0.22503
2020-09-18,0.21383
2020-09-19,0.36007
2020-09-20,0.37621
2020-09-21,0.21458
2020-09-22,0.22652
2020-09-23,0.21687
2020-09-24,0.21456
2020-09-25,0.21547
2020-09-26,0.34311
2020-09-27,0.39839
2020-09-28,0.2293
2020-09-29,0.22173
2020-09-30,0.19704
2020-10-01,0.21396
2020-10-02,0.18536
2020-10-03,0.22651
2020-10-04,0.30475
2020-10-05,0.18843
2020-10-06,0.2087
2020-10-07,0.1886
2020-10-08,0.20765
2020-10-09,0.2106
2020-10-10,0.206
2020-10-11,0.27109
2020-10-12,0.27868
2020-10-13,0.18938
2020-10-14,0.1832
2020-10-15,0.18702
2020-10-16,0.18555
2020-10-17,0.20388
2020-10-18,0.24561
2020-10-19,0.18585
2020-10-20,0.21321
2020-10-21,0.19427
2020-10-22,0.2165
2020-10-23,0.17788
2020-10-24,0.19101
2020-10-25,0.27378
2020-10-26,0.18327
2020-10-27,0.18346
2020-10-28,0.17103
2020-10-29,0.19314
2020-10-30,0.19573
2020-10-31,0.21149
2020-11-01,0.31244
2020-11-02,0.34702
2020-11-03,0.23335
2020-11-04,0.20817
2020-11-05,0.18562
2020-11-06,0.20629
2020-11-07,0.17307
2020-11-08,0.21359
2020-11-09,0.16297
2020-11-10,0.16737
2020-11-11,0.15013
2020-11-12,0.15874
2020-11-13,0.1385
2020-11-14,0.16475
2020-11-15,0.27523
2020-11-16,0.48158
2020-11-17,0.19801
2020-11-18,0.15571
2020-11-19,0.14894
2020-11-20,0.13556
2020-11-21,0.16065
2020-11-22,0.22892
2020-11-23,0.13658
2020-11-24,0.16272
2020-11-25,0.15051
2020-11-26,0.15112
2020-11-27,0.13526
2020-11-28,0.17408
2020-11-29,0.2279
2020-11-30,0.18325
2020-12-01,0.13306
2020-12-02,0.1594
2020-12-03,0.14963
2020-12-04,0.12942
2020-12-05,0.15917
2020-12-06,0.1947
2020-12-07,0.11968
2020-12-08,0.1789
2020-12-09,0.14056
2020-12-10,0.15921
2020-12-11,0.1308
2020-12-12,0.1421
2020-12-13,0.16895
2020-12-14,0.12723
2020-12-15,0.15418
2020-12-16,0.14144
2020-12-17,0.11969
2020-12-18,0.12182
2020-12-19,0.13033
2020-12-20,0.16235
2020-12-21,0.11269
2020-12-22,0.12379
2020-12-23,0.11223
2020-12-24,0.12008
2020-12-25,0.1739
2020-12-26,0.15517
2020-12-27,0.2624
2020-12-28,0.1357
2020-12-29,0.13781
2020-12-30,0.11086
2020-12-31,0.12101
2021-01-01,0.15397
2021-01-02,0.15354
2021-01-03,0.19911
2021-01-04,0.12063
2021-01-05,0.13832
2021-01-06,0.1489
2021-01-07,0.15579
2021-01-08,0.13163
2021-01-09,0.13964
2021-01-10,0.21466
2021-01-11,0.17952
2021-01-12,0.13027
2021-01-13,0.14412
2021-01-14,0.13329
2021-01-15,0.13167
2021-01-16,0.14609
2021-01-17,0.15691
2021-01-18,0.12888
2021-01-19,0.13696
2021-01-20,0.14082
2021-01-21,0.14552
2021-01-22,0.1339
2021-01-23,0.14294
2021-01-24,0.16969
2021-01-25,0.12494
2021-01-26,0.14188
2021-01-27,0.14542
2021-01-28,0.13167
2021-01-29,0.13277
2021-01-30,0.12063
2021-01-31,0.16464
2021-02-01,0.11442
2021-02-02,0.13467
2021-02-03,0.14035
2021-02-04,0.14568
2021-02-05,0.12493
2021-02-06,0.12559
2021-02-07,0.15113
2021-02-08,0.11888
2021-02-09,0.12638
2021-02-10,0.13273
2021-02-11,0.13145
2021-02-12,0.13385
2021-02-13,0.13445
2021-02-14,0.15426
2021-02-15,0.12121
2021-02-16,0.11456
2021-02-17,0.11319
2021-02-18,0.12824
2021-02-19,0.12097
2021-02-20,0.13369
2021-02-21,0.15131
2021-02-22,0.12271
2021-02-23,0.13233
2021-02-24,0.13591
2021-02-25,0.13026
2021-02-26,0.12065
2021-02-27,0.1263
2021-02-28,0.14997
2021-03-01,0.10754
2021-03-02,0.11095
2021-03-03,0.12191
2021-03-04,0.13059
2021-03-05,0.11887
2021-03-06,0.12608
2021-03-07,0.14072
2021-03-08,0.11326
2021-03-09,0.12108
2021-03-10,0.13119
2021-03-11,0.12584
2021-03-12,0.12405
2021-03-13,0.1312
2021-03-14,0.14381
2021-03-15,0.11354
2021-03-16,0.12858
2021-03-17,0.13551
