date,mobility_trend
2020-03-01,0.06039
2020-03-02,-0.00899
2020-03-03,-0.01252
2020-03-04,0.00998
2020-03-05,0.00059
2020-03-06,0.0385
2020-03-07,-0.00362
2020-03-08,-0.03961
2020-03-09,0.01549
2020-03-10,0.01764
2020-03-11,0.01601
2020-03-12,0.02118
2020-03-13,-0.01942
2020-03-14,-0.05453
2020-03-15,-0.06055
2020-03-16,-0.00736
2020-03-17,-0.04056
2020-03-18,-0.05136
2020-03-19,-0.07461
2020-03-20,-0.12733
2020-03-21,-0.51658
2020-03-22,-0.53296
2020-03-23,-0.46456
2020-03-24,-0.35363
2020-03-25,-0.47837
2020-03-26,-0.45058
2020-03-27,-0.48014
2020-03-28,-0.45681
2020-03-29,-0.54393
2020-03-30,-0.44826
2020-03-31,-0.40761
2020-04-01,-0.46422
2020-04-02,-0.4329
2020-04-03,-0.46362
2020-04-04,-0.43253
2020-04-05,-0.5544
2020-04-06,-0.42599
2020-04-07,-0.41503
2020-04-08,-0.44505
2020-04-09,-0.49832
2020-04-10,-0.58439
2020-04-11,-0.45362
2020-04-12,-0.57214
2020-04-13,-0.41222
2020-04-14,-0.41665
2020-04-15,-0.41591
2020-04-16,-0.38647
2020-04-17,-0.39112
2020-04-18,-0.4958
2020-04-19,-0.55719
2020-04-20,-0.3653
2020-04-21,-0.33608
2020-04-22,-0.4016
2020-04-23,-0.3499
2020-04-24,-0.40347
2020-04-25,-0.46292
2020-04-26,-0.53343
2020-04-27,-0.34486
2020-04-28,-0.3115
2020-04-29,-0.35337
2020-04-30,-0.27767
2020-05-01,-0.36019
2020-05-02,-0.44618
2020-05-03,-0.54203
2020-05-04,-0.28755
2020-05-05,-0.34741
2020-05-06,-0.3394
2020-05-07,-0.32734
2020-05-08,-0.34092
2020-05-09,-0.38454
2020-05-10,-0.46039
2020-05-11,-0.27565
2020-05-12,-0.27506
2020-05-13,-0.28488
2020-05-14,-0.25803
2020-05-15,-0.30583
2020-05-16,-0.34337
2020-05-17,-0.53073
2020-05-18,-0.32409
2020-05-19,-0.36711
2020-05-20,-0.308
2020-05-21,-0.31142
2020-05-22,-0.2895
2020-05-23,-0.31295
2020-05-24,-0.45656
2020-05-25,-0.34541
2020-05-26,-0.3188
2020-05-27,-0.24953
2020-05-28,-0.25399
2020-05-29,-0.26117
2020-05-30,-0.30871
2020-05-31,-0.36353
2020-06-01,-0.17771
2020-06-02,-0.24173
2020-06-03,-0.18652
2020-06-04,-0.21203
2020-06-05,-0.20804
2020-06-06,-0.28913
2020-06-07,-0.37861
2020-06-08,-0.16491
2020-06-09,-0.2115
2020-06-10,-0.20527
2020-06-11,-0.21744
2020-06-12,-0.20096
2020-06-13,-0.22124
2020-06-14,-0.42598
2020-06-15,-0.28658
2020-06-16,-0.21464
2020-06-17,-0.2453
2020-06-18,-0.19226
2020-06-19,-0.20449
2020-06-20,-0.23599
2020-06-21,-0.31787
2020-06-22,-0.25136
2020-06-23,-0.18647
2020-06-24,-0.14968
2020-06-25,-0.15273
2020-06-26,-0.15888
2020-06-27,-0.19494
2020-06-28,-0.33291
2020-06-29,-0.16737
2020-06-30,-0.09173
2020-07-01,-0.14378
2020-07-02,-0.12021
2020-07-03,-0.15768
2020-07-04,-0.1877
2020-07-05,-0.27528
2020-07-06,-0.10131
2020-07-07,-0.14814
2020-07-08,-0.13367
2020-07-09,-0.17114
2020-07-10,-0.13103
2020-07-11,-0.13725
2020-07-12,-0.24601
2020-07-13,-0.10141
2020-07-14,-0.14205
2020-07-15,-0.12536
2020-07-16,-0.09436
2020-07-17,-0.21514
2020-07-18,-0.36841
2020-07-19,-0.47063
2020-07-20,-0.32919
2020-07-21,-0.10147
2020-07-22,-0.15028
2020-07-23,-0.12402
2020-07-24,-0.1399
2020-07-25,-0.1882
2020-07-26,-0.32018
2020-07-27,-0.11579
2020-07-28,-0.14714
2020-07-29,-0.12587
2020-07-30,-0.12244
2020-07-31,-0.11609
2020-08-01,-0.10009
2020-08-02,-0.26702
2020-08-03,-0.11708
2020-08-04,-0.08883
2020-08-05,-0.09425
2020-08-06,-0.03538
2020-08-07,-0.23144
2020-08-08,-0.20127
2020-08-09,-0.29934
2020-08-10,-0.09619
2020-08-11,-0.12671
2020-08-12,-0.19787
2020-08-13,-0.16179
2020-08-14,-0.15532
2020-08-15,-0.13459
2020-08-16,-0.25291
2020-08-17,-0.22682
2020-08-18,-0.07961
2020-08-19,-0.11588
2020-08-20,-0.17403
2020-08-21,-0.14325
2020-08-22,-0.14329
2020-08-23,-0.26519
2020-08-24,-0.13997
2020-08-25,-0.10189
2020-08-26,-0.11111
2020-08-27,-0.10666
2020-08-28,-0.11451
2020-08-29,-0.1185
2020-08-30,-0.18641
2020-08-31,-0.11285
2020-09-01,-0.04257
2020-09-02,-0.0701
2020-09-03,-0.08741
2020-09-04,-0.09346
2020-09-05,-0.06331
2020-09-06,-0.15057
2020-09-07,-0.06746
2020-09-08,-0.09743
2020-09-09,-0.13798
2020-09-10,-0.17208
2020-09-11,-0.16557
2020-09-12,-0.15596
2020-09-13,-0.23546
2020-09-14,-0.11415
2020-09-15,-0.09446
2020-09-16,-0.07142
2020-09-17,-0.09758
2020-09-18,-0.04877
2020-09-19,-0.09091
2020-09-20,-0.11057
2020-09-21,-0.06242
2020-09-22,-0.05237
2020-09-23,-0.11715
2020-09-24,-0.08957
2020-09-25,-0.12643
2020-09-26,-0.05607
