date,mobility_trend
2020-03-01,-0.03648
2020-03-02,0.01702
2020-03-03,-0.01964
2020-03-04,-0.01249
2020-03-05,0.05628
2020-03-06,-0.04219
2020-03-07,0.00772
2020-03-08,0.02855
2020-03-09,0.02153
2020-03-10,-0.10832
2020-03-11,-0.00887
2020-03-12,0.0155
2020-03-13,-0.04602
2020-03-14,0.03359
2020-03-15,-0.0034
2020-03-16,0.04787
2020-03-17,-0.04839
2020-03-18,-0.02462
2020-03-19,-0.04175
2020-03-20,-0.11132
2020-03-21,-0.13333
2020-03-22,-0.23454
2020-03-23,-0.24273
2020-03-24,-0.1541
2020-03-25,-0.36666
2020-03-26,-0.40769
2020-03-27,-0.42119
2020-03-28,-0.39905
2020-03-29,-0.44005
2020-03-30,-0.37787
2020-03-31,-0.3748
2020-04-01,-0.39779
2020-04-02,-0.35354
2020-04-03,-0.39216
2020-04-04,-0.39264
2020-04-05,-0.44444
2020-04-06,-0.34756
2020-04-07,-0.35681
2020-04-08,-0.40707
2020-04-09,-0.39406
2020-04-10,-0.50231
2020-04-11,-0.4079
2020-04-12,-0.46447
2020-04-13,-0.38492
2020-04-14,-0.37384
2020-04-15,-0.34517
2020-04-16,-0.33408
2020-04-17,-0.33242
2020-04-18,-0.47277
2020-04-19,-0.50302
2020-04-20,-0.32958
2020-04-21,-0.3722
2020-04-22,-0.38803
2020-04-23,-0.37608
2020-04-24,-0.38218
2020-04-25,-0.49245
2020-04-26,-0.53347
2020-04-27,-0.3634
2020-04-28,-0.41132
2020-04-29,-0.3998
2020-04-30,-0.38514
2020-05-01,-0.44586
2020-05-02,-0.53774
2020-05-03,-0.58102
2020-05-04,-0.41572
2020-05-05,-0.40308
2020-05-06,-0.41308
2020-05-07,-0.42405
2020-05-08,-0.40777
2020-05-09,-0.53335
2020-05-10,-0.53933
2020-05-11,-0.40772
2020-05-12,-0.4444
2020-05-13,-0.41334
2020-05-14,-0.40157
2020-05-15,-0.4168
2020-05-16,-0.52143
2020-05-17,-0.54013
2020-05-18,-0.38843
2020-05-19,-0.42476
2020-05-20,-0.41919
2020-05-21,-0.37001
2020-05-22,-0.41137
2020-05-23,-0.48982
2020-05-24,-0.55148
2020-05-25,-0.45254
2020-05-26,-0.37964
2020-05-27,-0.3721
2020-05-28,-0.35132
2020-05-29,-0.36958
2020-05-30,-0.44509
2020-05-31,-0.51684
2020-06-01,-0.32972
2020-06-02,-0.37888
2020-06-03,-0.36987
2020-06-04,-0.29884
2020-06-05,-0.35498
2020-06-06,-0.42976
2020-06-07,-0.46411
2020-06-08,-0.32106
2020-06-09,-0.28961
2020-06-10,-0.27105
2020-06-11,-0.26281
2020-06-12,-0.26152
2020-06-13,-0.37374
2020-06-14,-0.42377
2020-06-15,-0.3561
2020-06-16,-0.25315
2020-06-17,-0.22967
2020-06-18,-0.21643
2020-06-19,-0.25564
2020-06-20,-0.29575
2020-06-21,-0.32758
2020-06-22,-0.28883
2020-06-23,-0.18708
2020-06-24,-0.18013
2020-06-25,-0.19362
2020-06-26,-0.21344
2020-06-27,-0.25995
2020-06-28,-0.33111
2020-06-29,-0.26291
2020-06-30,-0.19806
2020-07-01,-0.18443
2020-07-02,-0.13079
2020-07-03,-0.16355
2020-07-04,-0.16772
2020-07-05,-0.25113
2020-07-06,-0.1429
2020-07-07,-0.13909
2020-07-08,-0.15993
2020-07-09,-0.14609
2020-07-10,-0.13011
2020-07-11,-0.1263
2020-07-12,-0.27302
2020-07-13,-0.17747
2020-07-14,-0.18838
2020-07-15,-0.14799
2020-07-16,-0.10091
2020-07-17,-0.12525
2020-07-18,-0.09828
2020-07-19,-0.2042
2020-07-20,-0.21201
2020-07-21,-0.14506
2020-07-22,-0.11774
2020-07-23,-0.11407
2020-07-24,-0.12226
2020-07-25,-0.11737
2020-07-26,-0.19564
2020-07-27,-0.08066
2020-07-28,-0.08337
2020-07-29,-0.11785
2020-07-30,-0.03443
2020-07-31,-0.03735
2020-08-01,-0.02016
2020-08-02,-0.1284
2020-08-03,-0.04682
2020-08-04,-0.0371
2020-08-05,-0.02722
2020-08-06,-0.07011
2020-08-07,-0.18828
2020-08-08,-0.08095
2020-08-09,-0.12818
2020-08-10,-0.07914
2020-08-11,-0.07152
2020-08-12,-0.04497
2020-08-13,-0.02671
2020-08-14,-0.06889
2020-08-15,-0.00288
2020-08-16,-0.06451
2020-08-17,-0.14811
2020-08-18,-0.04718
2020-08-19,-0.08772
2020-08-20,-0.0977
2020-08-21,-0.15937
2020-08-22,-0.05613
2020-08-23,-0.1754
2020-08-24,-0.06558
2020-08-25,-0.06726
2020-08-26,-0.06599
2020-08-27,-0.01104
2020-08-28,-0.04094
2020-08-29,0.03554
2020-08-30,0.00678
2020-08-31,-0.0471
2020-09-01,-0.03478
2020-09-02,-0.03733
2020-09-03,-0.0692
2020-09-04,-0.0862
2020-09-05,0.00144
2020-09-06,-0.02834
2020-09-07,-0.03604
2020-09-08,-0.02869
2020-09-09,-0.06067
2020-09-10,-0.0421
2020-09-11,-0.10036
2020-09-12,-0.01182
2020-09-13,-0.01702
2020-09-14,-0.09494
2020-09-15,-0.13208
2020-09-16,-0.05451
2020-09-17,-0.02237
2020-09-18,-0.06447
2020-09-19,-0.01548
2020-09-20,-0.02134
2020-09-21,-0.06065
2020-09-22,-0.06022
2020-09-23,-0.01719
2020-09-24,-0.0497
2020-09-25,-0.06262
2020-09-26,-0.03022
2020-09-27,-0.01196
2020-09-28,-0.04
2020-09-29,-0.08809
2020-09-30,-0.03225
2020-10-01,0.01663
2020-10-02,-0.0148
2020-10-03,-0.00415
2020-10-04,-0.03922
2020-10-05,-0.03978
2020-10-06,-0.05491
2020-10-07,-0.04248
2020-10-08,-0.03067
2020-10-09,-0.04543
2020-10-10,-0.05709
2020-10-11,-0.03993
2020-10-12,-0.07346
2020-10-13,-0.04173
2020-10-14,-0.04421
2020-10-15,-0.00821
2020-10-16,0.00443
2020-10-17,-0.01652
2020-10-18,-0.07697
2020-10-19,-0.04431
2020-10-20,-0.04455
2020-10-21,-0.10001
2020-10-22,0.00981
2020-10-23,-0.05878
2020-10-24,0.01329
2020-10-25,-0.07165
2020-10-26,-0.03336
2020-10-27,-0.02408
2020-10-28,-0.01169
2020-10-29,-0.05803
