date,mobility_trend
2020-03-01,-0.03725
2020-03-02,0.00505
2020-03-03,0.08927
2020-03-04,-0.00189
2020-03-05,0.04676
2020-03-06,0.02856
2020-03-07,-0.01875
2020-03-08,-0.0757
2020-03-09,0.0339
2020-03-10,-0.05249
2020-03-11,-0.02629
2020-03-12,-0.00636
2020-03-13,0.02972
2020-03-14,-0.07863
2020-03-15,-0.09612
2020-03-16,0.02338
2020-03-17,-0.1288
2020-03-18,0.01254
2020-03-19,-0.01595
2020-03-20,-0.04699
2020-03-21,-0.1331
2020-03-22,-0.26145
2020-03-23,-0.24164
2020-03-24,-0.18055
2020-03-25,-0.32122
2020-03-26,-0.27948
2020-03-27,-0.30118
2020-03-28,-0.36855
2020-03-29,-0.41992
2020-03-30,-0.29654
2020-03-31,-0.32752
2020-04-01,-0.22839
2020-04-02,-0.26686
2020-04-03,-0.34063
2020-04-04,-0.34997
2020-04-06,-0.26657
2020-04-07,-0.32712
2020-04-08,-0.24993
2020-04-09,-0.29926
2020-04-10,-0.42005
2020-04-11,-0.31832
2020-04-12,-0.37133
2020-04-13,-0.22706
2020-04-14,-0.23153
2020-04-15,-0.18703
2020-04-16,-0.21054
2020-04-17,-0.24158
2020-04-18,-0.26997
2020-04-19,-0.31365
2020-04-20,-0.19469
2020-04-21,-0.20703
2020-04-22,-0.20654
2020-04-23,-0.19973
2020-04-24,-0.23709
2020-04-25,-0.21061
2020-04-26,-0.319
2020-04-27,-0.20569
2020-04-28,-0.22009
2020-04-29,-0.20307
2020-04-30,-0.18692
2020-05-01,-0.22208
2020-05-02,-0.29323
2020-05-03,-0.41604
2020-05-04,-0.20089
2020-05-05,-0.24092
2020-05-06,-0.19972
2020-05-07,-0.14281
2020-05-09,-0.35181
2020-05-10,-0.29601
2020-05-11,-0.14688
2020-05-12,-0.16759
2020-05-13,-0.19422
2020-05-14,-0.5069
2020-05-15,-0.43665
2020-05-16,-0.49878
2020-05-17,-0.41001
2020-05-18,-0.40717
2020-05-19,-0.44617
2020-05-20,-0.41667
2020-05-21,-0.207
2020-05-22,-0.38369
2020-05-23,-0.43686
2020-05-24,-0.33029
2020-05-25,-0.34101
2020-05-26,-0.26398
2020-05-27,-0.17932
2020-05-28,-0.15414
2020-05-29,-0.06041
2020-05-30,-0.25944
2020-05-31,-0.30592
2020-06-01,-0.13296
2020-06-02,-0.15072
2020-06-03,-0.14254
2020-06-04,-0.11026
2020-06-05,-0.05646
2020-06-06,-0.22421
2020-06-07,-0.29235
2020-06-08,-0.06666
2020-06-09,-0.13941
2020-06-10,-0.08464
2020-06-11,-0.09378
2020-06-12,-0.05809
2020-06-13,-0.19434
2020-06-14,-0.28502
2020-06-15,-0.19434
2020-06-16,-0.19598
2020-06-17,-0.07911
2020-06-18,-0.13633
2020-06-19,-0.14705
2020-06-20,-0.27324
2020-06-22,-0.2604
2020-06-23,-0.27029
2020-06-24,-0.1581
2020-06-25,-0.15145
2020-06-26,-0.15769
2020-06-27,-0.1889
2020-06-28,-0.28842
2020-07-02,-0.14481
2020-07-03,-0.12203
2020-07-07,-0.08117
2020-07-08,-0.05115
2020-07-10,-0.12858
2020-07-13,-0.10041
2020-07-14,-0.19971
2020-07-16,-0.21945
2020-07-22,-0.12558
2020-07-23,-0.11274
2020-07-24,-0.03393
2020-07-27,-0.03219
2020-07-28,-0.12157
2020-07-29,-0.00477
2020-07-30,0.02629
2020-07-31,-0.00953
2020-08-01,-0.14878
2020-08-02,-0.11367
2020-08-03,-0.10412
2020-08-04,-0.05369
2020-08-05,-0.01139
2020-08-12,0.03355
2020-08-18,-0.12133
2021-11-23,-0.2977
