date,mobility_trend
2020-03-01,0.0490658064516129
2020-03-02,0.06461775862068965
2020-03-03,0.07000189655172413
2020-03-04,0.0332919298245614
2020-03-05,0.02746810344827586
2020-03-06,0.06762396551724138
2020-03-07,0.03565275862068966
2020-03-08,0.07790883333333333
2020-03-09,0.03055896551724138
2020-03-10,0.02044859649122807
2020-03-11,-0.006690714285714285
2020-03-12,-0.019938275862068967
2020-03-13,0.0008686206896551727
2020-03-14,-0.011158448275862069
2020-03-15,-0.038650322580645165
2020-03-16,-0.05825389830508475
2020-03-17,-0.0917094827586207
2020-03-18,-0.16185830508474577
2020-03-19,-0.1415084745762712
2020-03-20,-0.49172830508474574
2020-03-21,-0.591171186440678
2020-03-22,-0.6081303389830509
2020-03-23,-0.5992722033898304
2020-03-24,-0.45010333333333336
2020-03-25,-0.5853535
2020-03-26,-0.5838383050847458
2020-03-27,-0.5807927118644068
2020-03-28,-0.5749496610169491
2020-03-29,-0.6163555932203391
2020-03-30,-0.5599205084745763
2020-03-31,-0.5429352542372882
2020-04-01,-0.5724845
2020-04-02,-0.5554757627118644
2020-04-03,-0.558524406779661
2020-04-04,-0.5585113559322035
2020-04-05,-0.598406
2020-04-06,-0.5404556666666667
2020-04-07,-0.5211138333333333
2020-04-08,-0.5343733333333333
2020-04-09,-0.6373323728813559
2020-04-10,-0.6967962711864406
2020-04-11,-0.6083886440677967
2020-04-12,-0.6267266101694915
2020-04-13,-0.5427296610169492
2020-04-14,-0.5236451666666667
2020-04-15,-0.5337167796610169
2020-04-16,-0.5265289830508475
2020-04-17,-0.5285203389830508
2020-04-18,-0.5506845762711864
2020-04-19,-0.6034328813559322
2020-04-20,-0.5142362711864407
2020-04-21,-0.4968884745762712
2020-04-22,-0.513537
2020-04-23,-0.5067035593220339
2020-04-24,-0.5019325
2020-04-25,-0.5366242372881356
2020-04-26,-0.5866442372881355
2020-04-27,-0.4669891525423729
2020-04-28,-0.46375627118644064
2020-04-29,-0.46078416666666666
2020-04-30,-0.4600335593220339
2020-05-01,-0.5650774999999999
2020-05-02,-0.52659
2020-05-03,-0.5938562711864407
2020-05-04,-0.4486943103448276
2020-05-05,-0.41806716666666666
2020-05-06,-0.4361037288135593
2020-05-07,-0.428581052631579
2020-05-08,-0.42534016666666663
2020-05-09,-0.47053
2020-05-10,-0.544163220338983
2020-05-11,-0.41000728813559323
2020-05-12,-0.3893327586206896
2020-05-13,-0.41728396551724134
2020-05-14,-0.40372327586206896
