date,mobility_trend
2020-10-07,-0.03856
2020-10-08,0.00687
2020-10-09,0.00181
2020-10-10,-0.06081
2020-10-11,-0.04936
2020-10-12,-0.02084
2020-10-13,-0.03202
2020-10-14,-0.0014
2020-10-15,0.06627
2020-10-16,0.01279
2020-10-17,-0.00382
2020-10-18,-0.05226
2020-10-19,-0.05866
2020-10-20,-0.07597
2020-10-21,-0.08774
2020-10-22,-0.06146
2020-10-23,0.02272
2020-10-24,-0.16332
2020-10-25,0.00366
2020-10-26,0.00153
2020-10-27,0.00456
2020-10-28,-0.01665
2020-10-29,-0.03097
2020-10-30,0.03011
2020-10-31,-0.0502
2020-11-01,-0.07441
2020-11-02,-0.0695
2020-11-03,-0.03359
2020-11-04,0.05213
2020-11-05,0.03553
2020-11-06,0.07303
2020-11-07,0.03906
2020-11-08,0.0961
2020-11-09,0.00749
2020-11-10,0.03944
2020-11-11,0.11071
2020-11-12,0.06349
2020-11-13,0.16908
2020-11-14,0.09405
2020-11-15,0.14164
2020-11-16,0.05787
2020-11-17,-0.00145
2020-11-18,0.06186
2020-11-19,0.03598
2020-11-20,0.08654
2020-11-21,0.09806
2020-11-22,0.10265
2020-11-23,-0.01824
2020-11-24,0.08802
2020-11-25,0.05245
2020-11-26,0.05588
2020-11-27,-0.02913
2020-11-28,0.01578
2020-11-29,0.12048
2020-11-30,0.01809
2020-12-01,0.10849
2020-12-02,0.07793
2020-12-03,0.14775
2020-12-04,0.16786
2020-12-05,0.07331
2020-12-06,0.18043
2020-12-07,0.09094
2020-12-08,0.08595
2020-12-09,0.03276
2020-12-10,0.0805
2020-12-11,0.20054
2020-12-12,0.09187
2020-12-13,0.16894
2020-12-14,0.07038
2020-12-15,0.03498
2020-12-16,0.09138
2020-12-17,0.04102
2020-12-18,0.08813
2020-12-19,0.15787
2020-12-20,0.17291
2020-12-21,0.06803
2020-12-22,0.10405
2020-12-24,0.19681
2020-12-25,0.10622
2020-12-26,0.06353
2020-12-27,0.04933
