date,mobility_trend
2020-03-01,0.02900615384615385
2020-03-02,0.09283846153846155
2020-03-03,0.008041538461538461
2020-03-04,0.030287692307692307
2020-03-05,-0.002802307692307692
2020-03-06,0.04463769230769231
2020-03-07,0.07325769230769232
2020-03-08,0.08505692307692307
2020-03-09,0.07986538461538463
2020-03-10,0.00579153846153846
2020-03-11,0.018293846153846157
2020-03-12,-0.040705384615384615
2020-03-13,0.04468384615384616
2020-03-14,0.036973846153846156
2020-03-15,0.003423846153846155
2020-03-16,-0.02846
2020-03-17,-0.09413999999999999
2020-03-18,-0.19248076923076923
2020-03-19,-0.17811384615384615
2020-03-20,-0.20872
2020-03-21,-0.27033
2020-03-22,-0.34981538461538464
2020-03-23,-0.4423607692307692
2020-03-24,-0.3666261538461538
2020-03-25,-0.5355807692307692
2020-03-26,-0.5331638461538462
2020-03-27,-0.4935184615384615
2020-03-28,-0.48599461538461536
2020-03-29,-0.43767
2020-03-30,-0.47420307692307695
2020-03-31,-0.4821323076923077
2020-04-01,-0.4795746153846154
2020-04-02,-0.5147846153846154
2020-04-03,-0.4775676923076923
2020-04-04,-0.46946076923076924
2020-04-05,-0.44457769230769234
2020-04-06,-0.4590992307692308
2020-04-07,-0.47294307692307697
2020-04-08,-0.46166769230769233
2020-04-09,-0.5437500000000001
2020-04-10,-0.5703923076923076
2020-04-11,-0.506086923076923
2020-04-12,-0.4642284615384616
2020-04-13,-0.45396615384615385
2020-04-14,-0.4663753846153846
2020-04-15,-0.45513846153846155
2020-04-16,-0.4574669230769231
2020-04-17,-0.4561176923076923
2020-04-18,-0.42879923076923077
2020-04-19,-0.4180069230769231
2020-04-20,-0.41924538461538463
2020-04-21,-0.44826307692307693
2020-04-22,-0.4434546153846154
2020-04-23,-0.4546630769230769
2020-04-24,-0.43118153846153845
2020-04-25,-0.40753153846153845
2020-04-26,-0.35969615384615383
2020-04-27,-0.3802615384615385
2020-04-28,-0.3970292307692308
2020-04-29,-0.3848423076923077
2020-04-30,-0.39346384615384616
2020-05-01,-0.4593653846153846
2020-05-02,-0.3942253846153846
2020-05-03,-0.3973038461538462
2020-05-04,-0.3407976923076923
2020-05-05,-0.3697153846153846
2020-05-06,-0.37958615384615385
2020-05-07,-0.3878784615384615
2020-05-08,-0.35445846153846156
2020-05-09,-0.36919
2020-05-10,-0.4157776923076923
2020-05-11,-0.33981384615384613
2020-05-12,-0.3537353846153846
2020-05-13,-0.35784153846153843
2020-05-14,-0.3683338461538461
2020-05-15,-0.34417384615384616
2020-05-16,-0.33606
2020-05-17,-0.38102384615384616
2020-05-18,-0.2980423076923077
2020-05-19,-0.38275615384615386
2020-05-20,-0.36219307692307695
2020-05-21,-0.3675953846153846
2020-05-22,-0.30491538461538464
2020-05-23,-0.37473076923076926
2020-05-24,-0.4084676923076923
2020-05-25,-0.44319000000000003
2020-05-26,-0.29868692307692307
2020-05-27,-0.33043846153846157
2020-05-28,-0.31607384615384615
2020-05-29,-0.28816846153846154
2020-05-30,-0.37530923076923073
2020-05-31,-0.3758069230769231
2020-06-01,-0.26844
2020-06-02,-0.30767076923076925
2020-06-03,-0.3040346153846154
2020-06-04,-0.3167284615384615
2020-06-05,-0.2705484615384615
2020-06-06,-0.33414846153846156
2020-06-07,-0.31424153846153846
2020-06-08,-0.24954076923076923
2020-06-09,-0.29832461538461535
2020-06-10,-0.31391846153846154
2020-06-11,-0.28781153846153845
2020-06-12,-0.2507692307692308
2020-06-13,-0.25595
2020-06-14,-0.2720153846153846
2020-06-15,-0.3967784615384616
2020-06-16,-0.2539246153846154
2020-06-17,-0.27359692307692307
2020-06-18,-0.2712453846153846
2020-06-19,-0.23167538461538462
2020-06-20,-0.30131153846153846
2020-06-21,-0.31601538461538464
2020-06-22,-0.4136969230769231
2020-06-23,-0.26845538461538465
2020-06-24,-0.2810961538461539
2020-06-25,-0.27011846153846153
2020-06-26,-0.22058307692307694
2020-06-27,-0.28967615384615386
2020-06-28,-0.2770407692307692
2020-06-29,-0.39285000000000003
2020-06-30,-0.22612153846153846
2020-07-01,-0.25340769230769233
2020-07-02,-0.28272846153846154
2020-07-03,-0.23071769230769232
2020-07-04,-0.2905761538461539
2020-07-05,-0.31724846153846153
2020-07-06,-0.22152538461538462
2020-07-07,-0.24912307692307692
2020-07-08,-0.2825430769230769
2020-07-09,-0.2552723076923077
2020-07-10,-0.21006692307692307
2020-07-11,-0.2346953846153846
2020-07-12,-0.25449076923076924
2020-07-13,-0.20289692307692306
2020-07-14,-0.24019076923076924
2020-07-15,-0.22733846153846154
2020-07-16,-0.26470461538461537
2020-07-17,-0.2476676923076923
2020-07-18,-0.27630615384615387
2020-07-19,-0.2836361538461538
2020-07-20,-0.39349923076923077
2020-07-21,-0.23324692307692307
2020-07-22,-0.2263946153846154
2020-07-23,-0.2454023076923077
2020-07-24,-0.23903153846153843
2020-07-25,-0.2540046153846154
2020-07-26,-0.23977230769230767
2020-07-27,-0.1928046153846154
2020-07-28,-0.21934307692307692
2020-07-29,-0.22020692307692308
2020-07-30,-0.2710230769230769
2020-07-31,-0.17176769230769232
2020-08-01,-0.21232384615384617
2020-08-02,-0.2005676923076923
2020-08-03,-0.18347
