date,mobility_trend
2020-03-01,0.01529
2020-03-02,0.0555
2020-03-03,0.02858
2020-03-04,0.04952
2020-03-05,0.03722
2020-03-06,0.01048
2020-03-07,0.02778
2020-03-08,0.06136
2020-03-09,0.04545
2020-03-10,0.00595
2020-03-11,0.00936
2020-03-12,-0.00101
2020-03-13,-0.02224
2020-03-14,-0.03099
2020-03-15,0.00683
2020-03-16,-0.00861
2020-03-17,-0.03302
2020-03-18,-0.04512
2020-03-19,-0.14049
2020-03-20,-0.15404
2020-03-21,-0.45335
2020-03-22,-0.56178
2020-03-23,-0.59325
2020-03-24,-0.4531
2020-03-25,-0.56723
2020-03-26,-0.54847
2020-03-27,-0.53244
2020-03-28,-0.6129
2020-03-29,-0.61913
2020-03-30,-0.4821
2020-03-31,-0.48206
2020-04-01,-0.48167
2020-04-02,-0.48273
2020-04-03,-0.49268
2020-04-04,-0.572
2020-04-05,-0.60132
2020-04-06,-0.45323
2020-04-07,-0.44773
2020-04-08,-0.45889
2020-04-09,-0.54273
2020-04-10,-0.59829
2020-04-11,-0.59408
2020-04-12,-0.62551
2020-04-13,-0.47244
2020-04-14,-0.4781
2020-04-15,-0.48069
2020-04-16,-0.45885
2020-04-17,-0.46594
2020-04-18,-0.54683
2020-04-19,-0.57984
2020-04-20,-0.43409
2020-04-21,-0.42566
2020-04-22,-0.44693
2020-04-23,-0.45036
2020-04-24,-0.44524
2020-04-25,-0.53208
2020-04-26,-0.56244
2020-04-27,-0.40818
2020-04-28,-0.40112
2020-04-29,-0.39584
2020-04-30,-0.37304
2020-05-01,-0.4756
2020-05-02,-0.64266
2020-05-03,-0.64319
2020-05-04,-0.37804
2020-05-05,-0.37928
2020-05-06,-0.36935
2020-05-07,-0.37303
2020-05-08,-0.36203
2020-05-09,-0.60047
2020-05-10,-0.5835
2020-05-11,-0.3556
2020-05-12,-0.35854
2020-05-13,-0.41031
2020-05-14,-0.42056
2020-05-15,-0.37587
2020-05-16,-0.54255
2020-05-17,-0.57889
2020-05-18,-0.34766
2020-05-19,-0.37122
2020-05-20,-0.39148
2020-05-21,-0.39823
2020-05-22,-0.36656
2020-05-23,-0.55447
2020-05-24,-0.58236
2020-05-25,-0.56895
2020-05-26,-0.31486
2020-05-27,-0.31901
2020-05-28,-0.38041
2020-05-29,-0.3322
2020-05-30,-0.52986
2020-05-31,-0.54552
2020-06-01,-0.28936
2020-06-02,-0.33633
2020-06-03,-0.32322
2020-06-04,-0.3222
2020-06-05,-0.29369
2020-06-06,-0.38405
2020-06-07,-0.49583
2020-06-08,-0.28239
2020-06-09,-0.2838
2020-06-10,-0.27409
2020-06-11,-0.34465
2020-06-12,-0.32566
2020-06-13,-0.49245
2020-06-14,-0.50188
2020-06-15,-0.52005
2020-06-16,-0.23846
2020-06-17,-0.25974
2020-06-18,-0.26433
2020-06-19,-0.24002
2020-06-20,-0.32313
2020-06-21,-0.44955
2020-06-22,-0.48481
2020-06-23,-0.25077
2020-06-24,-0.25955
2020-06-25,-0.25514
2020-06-26,-0.23753
2020-06-27,-0.34763
2020-06-28,-0.50956
2020-06-29,-0.51623
2020-06-30,-0.18617
2020-07-01,-0.20975
2020-07-02,-0.23435
2020-07-03,-0.31992
2020-07-04,-0.29792
2020-07-05,-0.46587
2020-07-06,-0.21415
2020-07-07,-0.21103
2020-07-08,-0.24164
2020-07-09,-0.30444
2020-07-10,-0.22463
2020-07-11,-0.23798
2020-07-12,-0.47934
2020-07-13,-0.22567
2020-07-14,-0.23239
2020-07-15,-0.28415
2020-07-16,-0.22125
2020-07-17,-0.21413
2020-07-18,-0.24226
2020-07-19,-0.45969
2020-07-20,-0.49408
2020-07-21,-0.22776
2020-07-22,-0.23809
2020-07-23,-0.2627
2020-07-24,-0.25501
2020-07-25,-0.24956
2020-07-26,-0.43687
2020-07-27,-0.22399
2020-07-28,-0.28286
2020-07-29,-0.22862
2020-07-30,-0.21532
2020-07-31,-0.18631
2020-08-01,-0.37542
2020-08-02,-0.55699
2020-08-03,-0.35392
2020-08-04,-0.3345
2020-08-05,-0.33107
2020-08-06,-0.33803
2020-08-07,-0.55811
2020-08-08,-0.46867
2020-08-09,-0.53855
2020-08-10,-0.29845
2020-08-11,-0.24579
2020-08-12,-0.26031
2020-08-13,-0.26818
2020-08-14,-0.29381
2020-08-15,-0.24992
2020-08-16,-0.42301
2020-08-17,-0.46782
2020-08-18,-0.20109
2020-08-19,-0.24182
2020-08-20,-0.24828
2020-08-21,-0.23685
2020-08-22,-0.26683
2020-08-23,-0.41974
2020-08-24,-0.22161
2020-08-25,-0.2589
2020-08-26,-0.25942
2020-08-27,-0.23297
2020-08-28,-0.2421
2020-08-29,-0.25492
2020-08-30,-0.35557
2020-08-31,-0.18365
2020-09-01,-0.18199
2020-09-02,-0.20761
2020-09-03,-0.25196
2020-09-04,-0.22059
2020-09-05,-0.46602
2020-09-06,-0.49134
2020-09-07,-0.21044
2020-09-08,-0.24508
2020-09-09,-0.26438
2020-09-10,-0.29103
2020-09-11,-0.26142
2020-09-12,-0.43985
2020-09-13,-0.54637
2020-09-14,-0.26522
2020-09-15,-0.23427
2020-09-16,-0.26752
2020-09-17,-0.23891
2020-09-18,-0.2216
2020-09-19,-0.44453
2020-09-20,-0.47521
2020-09-21,-0.21971
2020-09-22,-0.23504
2020-09-23,-0.24473
2020-09-24,-0.2423
2020-09-25,-0.24302
2020-09-26,-0.43894
2020-09-27,-0.46181
2020-09-28,-0.2583
2020-09-29,-0.25337
2020-09-30,-0.21323
2020-10-01,-0.2039
2020-10-02,-0.17409
2020-10-03,-0.22645
2020-10-04,-0.28028
2020-10-05,-0.1613
2020-10-06,-0.22174
2020-10-07,-0.17277
2020-10-08,-0.23018
2020-10-09,-0.23157
2020-10-10,-0.20771
2020-10-11,-0.25339
2020-10-12,-0.28972
2020-10-13,-0.17785
2020-10-14,-0.18517
2020-10-15,-0.18999
2020-10-16,-0.17294
2020-10-17,-0.15834
2020-10-18,-0.19822
2020-10-19,-0.15292
2020-10-20,-0.24273
2020-10-21,-0.19913
2020-10-22,-0.23682
2020-10-23,-0.18503
2020-10-24,-0.17298
2020-10-25,-0.32576
2020-10-26,-0.16278
2020-10-27,-0.17096
2020-10-28,-0.15485
2020-10-29,-0.19443
2020-10-30,-0.20875
2020-10-31,-0.15728
2020-11-01,-0.35733
2020-11-02,-0.42261
2020-11-03,-0.25077
2020-11-04,-0.19013
2020-11-05,-0.11536
2020-11-06,-0.22697
2020-11-07,-0.09355
2020-11-08,-0.12228
2020-11-09,-0.06202
2020-11-10,-0.0775
2020-11-11,-0.07818
2020-11-12,-0.07846
2020-11-13,-0.07625
2020-11-14,-0.0552
2020-11-15,-0.28672
2020-11-16,-0.67105
2020-11-17,-0.28887
2020-11-18,-0.10418
2020-11-19,-0.03164
2020-11-20,-0.05653
2020-11-21,-0.06358
2020-11-22,-0.1828
2020-11-23,-0.00615
2020-11-24,-0.04436
2020-11-25,-0.0242
2020-11-26,-0.06485
2020-11-27,-0.06104
2020-11-28,-0.05046
2020-11-29,-0.18144
2020-11-30,-0.12299
2020-12-01,0.00676
2020-12-02,-0.06571
2020-12-03,-0.106
2020-12-04,-0.02421
2020-12-05,-0.04971
2020-12-06,-0.07627
2020-12-07,0.06158
2020-12-08,-0.08829
2020-12-09,-0.01676
2020-12-10,-0.07599
2020-12-11,-0.03947
2020-12-12,-0.03073
2020-12-13,-0.00743
2020-12-14,0.01662
2020-12-15,-0.01815
2020-12-16,0.01434
2020-12-17,0.0111
2020-12-18,-0.02435
2020-12-19,0.02445
2020-12-20,0.00318
2020-12-21,0.09275
2020-12-22,0.03633
2020-12-23,0.05267
2020-12-24,0.05528
2020-12-25,-0.11009
2020-12-26,0.00375
2020-12-27,-0.27549
2020-12-28,-0.00127
2020-12-29,0.01421
2020-12-30,0.07799
2020-12-31,0.05047
2021-01-01,-0.0652
2021-01-02,-0.0619
2021-01-03,-0.06373
2021-01-04,0.04164
2021-01-05,0.00977
2021-01-06,-0.02213
2021-01-07,-0.03078
2021-01-08,-0.01865
2021-01-09,-0.02417
2021-01-10,-0.1274
2021-01-11,-0.09895
2021-01-12,0.00746
2021-01-13,-0.03002
2021-01-14,-0.02692
2021-01-15,-0.03344
2021-01-16,-0.00722
2021-01-17,0.0157
2021-01-18,0.02111
2021-01-19,-0.0145
2021-01-20,-0.0259
2021-01-21,-0.04908
2021-01-22,-0.00769
2021-01-23,-0.01811
2021-01-24,-0.01936
2021-01-25,0.01821
2021-01-26,-0.01743
2021-01-27,-0.02085
2021-01-28,0.00596
2021-01-29,-0.00539
2021-01-30,0.03812
2021-01-31,0.03578
2021-02-01,0.05266
2021-02-02,7e-05
2021-02-03,-0.04013
2021-02-04,-0.02057
2021-02-05,-0.0203
2021-02-06,-0.00054
2021-02-07,0.01448
2021-02-08,0.04493
2021-02-09,-0.03046
2021-02-10,-0.04329
2021-02-11,-0.02378
2021-02-12,-0.02985
2021-02-13,0.0118
2021-02-14,0.03187
2021-02-15,0.04888
2021-02-16,0.02345
2021-02-17,0.00806
2021-02-18,-0.01599
2021-02-19,-0.00157
2021-02-20,-0.00475
2021-02-21,0.01565
2021-02-22,0.01744
2021-02-23,0.01021
2021-02-24,-0.01102
2021-02-25,-0.00517
2021-02-26,-0.00111
2021-02-27,0.06059
2021-02-28,0.0655
2021-03-01,0.06694
2021-03-02,0.05999
2021-03-03,0.00421
2021-03-04,0.01401
2021-03-05,0.00514
2021-03-06,0.03177
2021-03-07,0.08274
2021-03-08,0.04827
2021-03-09,0.00025
2021-03-10,-0.01171
2021-03-11,-0.03032
2021-03-12,-0.02158
2021-03-13,-0.01323
2021-03-14,0.03261
2021-03-15,0.08007
2021-03-16,0.00196
2021-03-17,-0.01998
2021-03-18,-0.00821
2021-03-19,0.02644
2021-03-20,0.04561
2021-03-21,0.07352
2021-03-22,-0.02551
2021-03-23,0.0499
2021-03-24,0.04813
2021-03-25,0.04497
2021-03-26,0.05088
2021-03-27,0.0738
2021-03-28,0.07342
2021-03-29,0.07528
2021-03-30,0.0371
2021-03-31,0.07728
2021-04-01,-0.02373
2021-04-02,-0.09333
2021-04-03,0.02535
2021-04-04,0.02548
2021-04-05,0.14926
2021-04-06,0.05728
2021-04-07,0.01994
2021-04-08,0.02347
2021-04-09,0.0039
2021-04-10,0.0305
2021-04-11,0.01453
2021-04-12,0.06917
2021-04-13,0.01369
2021-04-14,-0.00148
2021-04-15,-0.01985
2021-04-16,0.01041
2021-04-17,0.01911
2021-04-18,0.02517
2021-04-19,0.06988
2021-04-20,0.071
2021-04-21,-0.0055
2021-04-22,-0.02287
2021-04-23,0.00332
2021-04-24,0.03287
2021-04-25,0.05359
2021-04-26,0.09051
2021-04-27,0.02342
2021-04-28,-0.01116
2021-04-29,0.03874
2021-04-30,0.0627
2021-05-01,0.01846
2021-05-02,0.05575
2021-05-03,0.04411
2021-05-04,0.00058
2021-05-05,-0.06803
2021-05-06,-0.04628
2021-05-07,-0.04422
2021-05-08,-0.01415
2021-05-09,0.04139
2021-05-10,-0.0294
2021-05-11,-0.02917
2021-05-12,-0.07095
2021-05-13,-0.1028
2021-05-14,-0.05862
2021-05-15,-0.0019
2021-05-16,-0.00982
2021-05-17,-0.07583
2021-05-18,0.00875
2021-05-19,-0.00993
2021-05-20,-0.00206
2021-05-21,-0.02581
2021-05-22,-0.00949
2021-05-23,-0.04106
2021-05-24,-0.00914
2021-05-25,-0.03389
2021-05-26,-0.03769
2021-05-27,-0.00386
2021-05-28,-0.01618
2021-05-29,0.0224
2021-05-30,0.03214
2021-05-31,0.032
2021-06-01,0.04561
2021-06-02,0.00118
2021-06-03,0.01476
2021-06-04,0.011
2021-06-05,0.0099
2021-06-06,0.02252
2021-06-07,-0.00904
2021-06-08,0.02921
2021-06-09,-0.03221
2021-06-10,-0.01287
2021-06-11,0.026
2021-06-12,0.05894
2021-06-13,0.05373
2021-06-14,-0.03849
2021-06-15,0.09492
2021-06-16,0.03189
2021-06-17,0.05192
2021-06-18,0.03002
2021-06-19,0.0496
2021-06-20,0.03632
2021-06-21,0.07062
2021-06-22,-0.00836
2021-06-23,0.01847
2021-06-24,0.04371
2021-06-25,-0.04735
2021-06-26,-0.00488
2021-06-27,-0.02509
2021-06-28,-0.0058
2021-06-29,-0.01139
2021-06-30,0.04139
2021-07-01,0.05071
2021-07-02,0.04578
2021-07-03,0.05556
2021-07-04,0.09524
2021-07-05,0.04828
2021-07-06,0.10066
2021-07-07,0.07732
2021-07-08,0.03653
2021-07-09,0.04664
2021-07-10,-0.02543
2021-07-11,-0.12468
2021-07-12,0.04216
2021-07-13,0.09043
2021-07-14,0.08114
2021-07-15,0.0819
2021-07-16,0.09778
2021-07-17,0.07431
2021-07-18,0.10844
2021-07-19,0.14742
2021-07-20,0.04319
